PC:C616 A:0E X:07 Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:07 X:07 Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:07 X:07 Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:07 X:07 Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:03 X:07 Y:00 S:FD P:25 INST:D0 FB 98
PC:C614 A:03 X:07 Y:00 S:FD P:25 INST:B0 08 4A
PC:C61E A:03 X:07 Y:00 S:FD P:25 INST:E8 10 E5
PC:C61F A:03 X:08 Y:00 S:FD P:25 INST:10 E5 20
PC:C606 A:03 X:08 Y:00 S:FD P:25 INST:86 3C 8A
PC:C608 A:03 X:08 Y:00 S:FD P:25 INST:8A 0A 24
PC:C609 A:08 X:08 Y:00 S:FD P:25 INST:0A 24 3C
PC:C60A A:10 X:08 Y:00 S:FD P:24 INST:24 3C F0
PC:C60C A:10 X:08 Y:00 S:FD P:26 INST:F0 10 05
PC:C61E A:10 X:08 Y:00 S:FD P:26 INST:E8 10 E5
PC:C61F A:10 X:09 Y:00 S:FD P:24 INST:10 E5 20
PC:C606 A:10 X:09 Y:00 S:FD P:24 INST:86 3C 8A
PC:C608 A:10 X:09 Y:00 S:FD P:24 INST:8A 0A 24
PC:C609 A:09 X:09 Y:00 S:FD P:24 INST:0A 24 3C
PC:C60A A:12 X:09 Y:00 S:FD P:24 INST:24 3C F0
PC:C60C A:12 X:09 Y:00 S:FD P:26 INST:F0 10 05
PC:C61E A:12 X:09 Y:00 S:FD P:26 INST:E8 10 E5
PC:C61F A:12 X:0A Y:00 S:FD P:24 INST:10 E5 20
PC:C606 A:12 X:0A Y:00 S:FD P:24 INST:86 3C 8A
PC:C608 A:12 X:0A Y:00 S:FD P:24 INST:8A 0A 24
PC:C609 A:0A X:0A Y:00 S:FD P:24 INST:0A 24 3C
PC:C60A A:14 X:0A Y:00 S:FD P:24 INST:24 3C F0
PC:C60C A:14 X:0A Y:00 S:FD P:26 INST:F0 10 05
PC:C61E A:14 X:0A Y:00 S:FD P:26 INST:E8 10 E5
PC:C61F A:14 X:0B Y:00 S:FD P:24 INST:10 E5 20
PC:C606 A:14 X:0B Y:00 S:FD P:24 INST:86 3C 8A
PC:C608 A:14 X:0B Y:00 S:FD P:24 INST:8A 0A 24
PC:C609 A:0B X:0B Y:00 S:FD P:24 INST:0A 24 3C
PC:C60A A:16 X:0B Y:00 S:FD P:24 INST:24 3C F0
PC:C60C A:16 X:0B Y:00 S:FD P:24 INST:F0 10 05
PC:C60E A:16 X:0B Y:00 S:FD P:24 INST:05 3C 49
PC:C610 A:1F X:0B Y:00 S:FD P:24 INST:49 FF 29
PC:C612 A:E0 X:0B Y:00 S:FD P:A4 INST:29 7E B0
PC:C614 A:60 X:0B Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:60 X:0B Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:30 X:0B Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:30 X:0B Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:30 X:0B Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:18 X:0B Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:18 X:0B Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:18 X:0B Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:0C X:0B Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:0C X:0B Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:0C X:0B Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:06 X:0B Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:06 X:0B Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:06 X:0B Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:03 X:0B Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:03 X:0B Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:03 X:0B Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:01 X:0B Y:00 S:FD P:25 INST:D0 FB 98
PC:C614 A:01 X:0B Y:00 S:FD P:25 INST:B0 08 4A
PC:C61E A:01 X:0B Y:00 S:FD P:25 INST:E8 10 E5
PC:C61F A:01 X:0C Y:00 S:FD P:25 INST:10 E5 20
PC:C606 A:01 X:0C Y:00 S:FD P:25 INST:86 3C 8A
PC:C608 A:01 X:0C Y:00 S:FD P:25 INST:8A 0A 24
PC:C609 A:0C X:0C Y:00 S:FD P:25 INST:0A 24 3C
PC:C60A A:18 X:0C Y:00 S:FD P:24 INST:24 3C F0
PC:C60C A:18 X:0C Y:00 S:FD P:24 INST:F0 10 05
PC:C60E A:18 X:0C Y:00 S:FD P:24 INST:05 3C 49
PC:C610 A:1C X:0C Y:00 S:FD P:24 INST:49 FF 29
PC:C612 A:E3 X:0C Y:00 S:FD P:A4 INST:29 7E B0
PC:C614 A:62 X:0C Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:62 X:0C Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:31 X:0C Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:31 X:0C Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:31 X:0C Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:18 X:0C Y:00 S:FD P:25 INST:D0 FB 98
PC:C614 A:18 X:0C Y:00 S:FD P:25 INST:B0 08 4A
PC:C61E A:18 X:0C Y:00 S:FD P:25 INST:E8 10 E5
PC:C61F A:18 X:0D Y:00 S:FD P:25 INST:10 E5 20
PC:C606 A:18 X:0D Y:00 S:FD P:25 INST:86 3C 8A
PC:C608 A:18 X:0D Y:00 S:FD P:25 INST:8A 0A 24
PC:C609 A:0D X:0D Y:00 S:FD P:25 INST:0A 24 3C
PC:C60A A:1A X:0D Y:00 S:FD P:24 INST:24 3C F0
PC:C60C A:1A X:0D Y:00 S:FD P:24 INST:F0 10 05
PC:C60E A:1A X:0D Y:00 S:FD P:24 INST:05 3C 49
PC:C610 A:1F X:0D Y:00 S:FD P:24 INST:49 FF 29
PC:C612 A:E0 X:0D Y:00 S:FD P:A4 INST:29 7E B0
PC:C614 A:60 X:0D Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:60 X:0D Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:30 X:0D Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:30 X:0D Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:30 X:0D Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:18 X:0D Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:18 X:0D Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:18 X:0D Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:0C X:0D Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:0C X:0D Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:0C X:0D Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:06 X:0D Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:06 X:0D Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:06 X:0D Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:03 X:0D Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:03 X:0D Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:03 X:0D Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:01 X:0D Y:00 S:FD P:25 INST:D0 FB 98
PC:C614 A:01 X:0D Y:00 S:FD P:25 INST:B0 08 4A
PC:C61E A:01 X:0D Y:00 S:FD P:25 INST:E8 10 E5
PC:C61F A:01 X:0E Y:00 S:FD P:25 INST:10 E5 20
PC:C606 A:01 X:0E Y:00 S:FD P:25 INST:86 3C 8A
PC:C608 A:01 X:0E Y:00 S:FD P:25 INST:8A 0A 24
PC:C609 A:0E X:0E Y:00 S:FD P:25 INST:0A 24 3C
PC:C60A A:1C X:0E Y:00 S:FD P:24 INST:24 3C F0
PC:C60C A:1C X:0E Y:00 S:FD P:24 INST:F0 10 05
PC:C60E A:1C X:0E Y:00 S:FD P:24 INST:05 3C 49
PC:C610 A:1E X:0E Y:00 S:FD P:24 INST:49 FF 29
PC:C612 A:E1 X:0E Y:00 S:FD P:A4 INST:29 7E B0
PC:C614 A:60 X:0E Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:60 X:0E Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:30 X:0E Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:30 X:0E Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:30 X:0E Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:18 X:0E Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:18 X:0E Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:18 X:0E Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:0C X:0E Y:00 S:FD P:24 INST:D0 FB 98
PC:C614 A:0C X:0E Y:00 S:FD P:24 INST:B0 08 4A
PC:C616 A:0C X:0E Y:00 S:FD P:24 INST:4A D0 FB
PC:C617 A:06 X:0E Y:00 S:FD P:24 INST:D0 FB 98
